event_id,customer_id,product_id,added_to_cart,removed_from_cart,purchased,
1,339,365,1,0,1,
2,547,296,1,1,0,
3,646,410,1,1,0,
4,820,323,1,1,0,
5,526,289,1,1,0,
6,499,328,1,0,1,
7,617,402,1,1,0,
8,291,199,1,0,0,
9,729,128,1,1,0,
10,760,282,1,0,1,
11,30,344,1,1,0,
12,376,333,1,0,0,
13,574,481,1,1,0,
14,576,194,1,1,0,
15,752,438,1,1,0,
16,474,248,1,1,0,
17,465,221,1,1,0,
18,681,104,1,0,1,
19,31,407,1,0,0,
20,412,275,1,1,0,
21,239,417,1,0,0,
22,719,469,1,1,0,
23,872,286,1,1,0,
24,797,419,1,1,0,
25,647,410,1,0,0,
26,937,189,1,1,0,
27,43,221,1,0,1,
28,732,335,1,1,0,
29,963,378,1,0,1,
30,981,375,1,1,0,
31,602,427,1,0,1,
32,334,285,1,0,1,
33,91,358,1,0,1,
34,117,242,1,1,0,
35,760,447,1,1,0,
36,28,285,1,1,0,
37,501,238,1,1,0,
38,716,163,1,0,1,
39,257,421,1,1,0,
40,182,461,1,1,0,
41,325,127,1,1,0,
42,917,354,1,1,0,
43,87,301,1,0,0,
44,67,227,1,1,0,
45,438,175,1,0,1,
46,483,474,1,0,1,
47,328,148,1,0,0,
48,903,141,1,0,1,
49,842,275,1,1,0,
50,479,316,1,0,1,
51,184,356,1,1,0,
52,735,146,1,0,0,
53,737,129,1,0,0,
54,660,122,1,1,0,
55,817,401,1,1,0,
56,211,294,1,0,1,
57,460,321,1,0,1,
58,593,398,1,0,1,
59,576,452,1,1,0,
60,105,162,1,0,1,
61,682,249,1,1,0,
62,859,218,1,1,0,
63,255,195,1,1,0,
64,725,363,1,1,0,
65,422,497,1,0,0,
66,600,241,1,0,0,
67,119,132,1,1,0,
68,368,389,1,1,0,
69,923,408,1,0,1,
70,217,330,1,0,0,
71,798,120,1,0,1,
72,802,200,1,1,0,
73,708,262,1,1,0,
74,496,459,1,0,0,
75,712,184,1,1,0,
76,688,431,1,1,0,
77,355,497,1,0,1,
78,659,160,1,1,0,
79,189,377,1,1,0,
80,731,341,1,1,0,
81,454,371,1,0,1,
82,164,269,1,0,0,
83,41,209,1,0,1,
84,251,419,1,1,0,
85,412,344,1,1,0,
86,828,296,1,1,0,
87,809,164,1,0,1,
88,376,354,1,0,1,
89,480,218,1,1,0,
90,257,190,1,0,1,
91,530,318,1,1,0,
92,911,308,1,0,1,
93,792,493,1,0,1,
94,68,324,1,1,0,
95,595,139,1,1,0,
96,315,334,1,0,1,
97,776,283,1,0,0,
98,170,475,1,1,0,
99,445,407,1,0,0,
100,454,243,1,0,1,
101,629,292,1,0,1,
102,981,484,1,1,0,
103,738,361,1,0,0,
104,526,143,1,0,0,
105,361,266,1,0,0,
106,123,142,1,0,1,
107,671,106,1,1,0,
108,895,450,1,0,1,
109,31,269,1,1,0,
110,493,156,1,1,0,
111,719,269,1,0,1,
112,406,388,1,0,1,
113,97,174,1,0,1,
114,856,479,1,1,0,
115,294,391,1,0,0,
116,90,168,1,0,0,
117,460,343,1,0,0,
118,422,204,1,0,0,
119,400,429,1,1,0,
120,769,417,1,0,0,
121,587,306,1,0,0,
122,669,207,1,0,1,
123,847,282,1,0,1,
124,625,458,1,0,1,
125,387,158,1,1,0,
126,530,254,1,0,0,
127,46,198,1,0,0,
128,920,421,1,1,0,
129,803,252,1,1,0,
130,22,432,1,0,0,
131,740,227,1,0,0,
132,369,383,1,0,1,
133,329,302,1,0,1,
134,360,185,1,1,0,
135,671,477,1,0,0,
136,498,385,1,1,0,
137,178,131,1,0,1,
138,459,392,1,1,0,
139,335,365,1,0,0,
140,82,137,1,1,0,
141,457,288,1,0,0,
142,93,107,1,0,1,
143,680,168,1,0,1,
144,114,336,1,0,1,
145,36,283,1,0,1,
146,767,274,1,0,1,
147,396,251,1,1,0,
148,334,339,1,0,1,
149,880,427,1,1,0,
150,401,477,1,1,0,
151,895,278,1,0,1,
152,59,393,1,0,0,
153,179,431,1,0,0,
154,907,451,1,0,0,
155,119,135,1,1,0,
156,816,161,1,1,0,
157,969,284,1,0,1,
158,949,469,1,0,0,
159,776,465,1,1,0,
160,949,276,1,0,0,
161,381,192,1,1,0,
162,399,228,1,0,1,
163,578,466,1,1,0,
164,608,100,1,0,0,
165,692,273,1,0,1,
166,114,426,1,0,1,
167,841,357,1,1,0,
168,146,147,1,0,0,
169,604,428,1,1,0,
170,704,401,1,1,0,
171,483,481,1,0,1,
172,766,187,1,0,1,
173,410,107,1,0,0,
174,311,452,1,0,1,
175,207,458,1,1,0,
176,104,174,1,0,0,
177,677,141,1,1,0,
178,269,130,1,0,1,
179,637,100,1,1,0,
